ID,Title,Genre,Year,Director,Actor1,Actor2,Actor3,,,,
50,The Usual Suspects,Crime&Drama&Mystery&Thriller,1995,Bryan Singer,Kevin Spacey,Gabriel Byrne,Benicio del Toro,,,,
51,Guardian Angel,Drama&Family,1994,David S. Cass Sr.,John Lynch,Sherry Stringfield,Matt Lawrence[,,,,
52,Mighty Aphrodite,Comedy&Drama&Romance,1995,Woody Allen,Helen Hunt,Paul Simon,Mike Starr[,,,,
53,Lamerica,Drama&Comedy,1994,Bernardo Bertolucci,Robert De Niro,Jeremy Irons,Liv Ullmann[,,,,
54,"Big Green, The",Comedy&Drama&Family,1995,Holland Taylor,Steve Martin,Mary-Louise Parker,David Paymer[,,,,
55,Georgia,Drama&Romance,1995,Jonathan Demme,Matt Damon,Kim Darby,Stellan Skarsgård[,,,,
56,Kids of the Round Table,Adventure&Comedy&Family,1995,Jason Winer,Michael Clarke Duncan,Sam Huntington,Peter O'Toole[,,,,
57,Home for the Holidays,Drama&Comedy&Family,1995,Jodie Foster,Holly Hunter,Robert Downey Jr,Dermot Mulroney[,,,,
58,"Postino, Il (The Postman)",Drama&Romance,1994,Michele Soavi,Massimo Troisi,Maria Grazia Cucinotta,Roberto Citran[,,,,
59,The Confessional,Drama&Mystery&Thriller,1995,David Wellington,Christopher Lambert,Klaus Maria Brandauer,Jacqueline Bisset[,,,,
60,The Indian in the Cupboard,Adventure&Family,1995,Frank Oz,Hal Scardino,Litefoot,Raji James[,,,,
61,Eye for an Eye,Crime&Drama&Thriller,1996,John Schlesinger,Sally Field,Kiefer Sutherland,Edward Burns[,,,,
62,Mr. Holland's Opus,Drama&Music&Romance,1995,Stephen Herek,Richard Dreyfuss,Glenne Headly,Jay Thomas[,,,,
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy&Parody& Satire& Urban Drama,1996,Rick Famuyiwa,Sheryl Lee Ralph,Ice Cube,Tracee Ellis Ross[,,,,
64,Two if by Sea,Comedy&Crime&Romance,1996,Stuart Beattie,Sandra Bullock,Dennis Hopper,George McKay[,,,,
65,Bio-Dome,Comedy,1996,Paul Weiland,Pauly Shore,Mike Dopud,Stephen Tobolowsky[Inst],,,,
66,Lawnmower Man 2: Beyond Cyberspace,Science Fiction&Thriller,1996,Brett Leonard,Jeff Fahey,Joachim Lambert,Jane Menelaus[,,,,
67,Two Bits,Comedy&Drama,1995,Gordon Parks Jr,Snoop Dogg,Brad Pitt,Holly Hunter[,,,,
68,French Twist (Gazon maudit),Comedy&Drama&Romance,1995,Josiane Balasko,Bernadette Lafont,Claude Brasseur,Rufus[,,,,
69,Friday,Comedy&Drama,1995,F. Gary Gray,Ice Cube,Chris Tucker,Faizon Love[,,,,
70,From Dusk Till Dawn,Crime&Horror&Thriller,1996,Robert Rodriguez,George Clooney,Quentin Tarantino,Juliette Lewis[,,,,
71,Fair Game,Drama&Romance,1995,Bruce Beresford,Sarah Jessica Parker,Nick Nolte,Kris Kristofferson,,,,
72,Kicking and Screaming,Comedy&Family,1995,Noah C. Haltiwanger,Will Ferrell,Robert Smigel,Eliza Dushku[,,,,
73,Les Misérables,Drama&Musical&Romance,1995,Bille August,Libertad Lamarque,John Malkovich,Geoffrey Rush[,,,,
74,Bed of Roses,Drama&Romance,1996,Michael Goldenberg,Christian Slater,Minnie Driver,Bed & Breakfast[,,,,
75,Big Bully,Drama&Family,1996,Larry Cohen,Tom Arnold,Rick Moranis,Melissa Joan Hart[,,,,
76,Screamers,Science Fiction&Thriller,1995,Christoph Gans,Peter Weller,Jennifer Rubin,Bruce McGill[,,,,
77,Nico Icon,Drama&Music,1995,N/A,N/A,N/A,,,,,
78,The Crossing Guard,Drama&Mystery,1995,Rob Reiner,Warren Beatty,Meg Ryan,William H. Macy[,,,,
79,"Juror, The",Drama&Th suspense,1996,Bryan Spicer,Hector Elizondo,David Schwimmer,Jon Voight[,,,,
80,The White Balloon,Drama,1995,Jafar Panahi, null, null, null[,,,,
81,Things to Do in Denver when You're Dead,Crime&Drama&Black Comedy,1995,Gary Fleder,Andy Garcia,Christina Ricci,Mickey Rourke[,,,,
82,"Antonia""s Line (Antonia)",Drama&Romance,1995,Marleen Gorris,Willeke van Ammelrooy,Ellen Vogel,Katrin Cartlidge[,,,,
83,Once Upon a Time... When We Were Colored,Drama&History,1995,Larry Clark,Kevin Rodney Sullivan,Vanessa Williams,Mekhi Phifer[,,,,
84,Last Summer in the Hamptons,Drama&Romance,1995,Bethany Rooney,Devon Sawa,Alicia Silverstone,Jason Bateman[,,,,
85,Angels and Insects,Drama&Fantasy&Romance,1995,Philip Haas,Mark Rylance,Patsy Kensit,Christopher Eccleston[,,,,
86,White Squall,Adventure&Drama&Thriller,1996,Ridley Scott,Jeff Bridges,Josh Lucas,Sarah Jennifer Sellman[,,,,
87,Dunston Checks In,Comedy&Family,1996, Norman Fell,Harry Shearer,Patrick Stewart,Kelsey Grammer[,,,,
88,Black Sheep,Comedy&Drama,1996,Frank Oz,Chris Farley,David Spade,Christine Taylor[,,,,
89,Nick of Time,Thriller&Action&Drama,1995,John Badham,Johnny Depp,Christina Ricci,Courteney Cox[,,,,
90,"Journey of August King, The",Drama&History,1995,John Duigan,Jeff Bridges,Thomas G. Waites,Elizabeth McGovern[,,,,
92,Mary Reilly,Drama&Horror&Mystery,1996,Peter Hyams,John Malkovich,Glenn Close,Jim Broadbent[,,,,
93,Vampire in Brooklyn,Comedy&Horror&Romance,1995,Wes Craven,Eddie Murphy,Angela Bassett,Archie Panjabi[,,,,
94,Beautiful Girls,Comedy&Drama&Romance,1996,Taylor Hackford,Matt Dillon,Noah Wyle,Lauren Holly[,,,,
95,Broken Arrow,Action&Adventure&Thriller,1996,John Woo,John Travolta,Sylvester Stallone,Halle Berry[,,,,
96,In the Bleak Midwinter,Drama&Romance,1995,Michael Kitchen,Bridget Fonda,Anthony Head,Jim Broadbent[,,,,
97,"Hate (Haine, La)",Drama&Romance,1995,Catherine Breillat,Bulle Ogier,Katerina Golubeva,Lucas Belvaux[,,,,
98,Shopping,Comedy&Romance,1994,Paul Weiland,Liza Minnelli,Joel Grey,Dennis Boutsikaris[,,,,
99,Heidi Fleiss: Hollywood Madam,Biography&Drama,1995,Jim Sharman,Jennifer Tilly,Rip Torn,Swoosie Kurtz[,,,,
100,City Hall,Drama&Romance,1996,Harold Becker,Adam Arkin,Kyra Sedgwick,Faye Dunaway[,,,,
101,Bottle Rocket,Comedy&Drama&Romance,1996,Wes Anderson,Luke Wilson,Owen Wilson,Andy Whitfield[,,,,
102,Mr. Wrong,Comedy&Romance,1996,Martha Coolidge,Eddie Murphy,Jennifer Aniston,Kris Kristofferson[,,,,
103,Unforgettable,Drama&Romance,1996,Lewis Teague,Ray Liotta,Linda Fiorentino,Peter Coyote[,,,,
104,Happy Gilmore,Comedy&Sports,1996,Fred Wolf,Adam Sandler,Christopher McDonald,Julie Bowen[,,,,
105,"Bridges of Madison County, The",Drama&Romance,1995,Clint Eastwood,Meryl Streep,Annie Corley,Victor Kraatz[,,,,
106,Nobody Loves Me (Keiner liebt mich),Drama&Romance,1994,Oskar Roehler,Maria Schrader,Rolf Herricht,Jördis Triebel[,,,,
107,Muppet Treasure Island,Adventure&Comedy&Family,1996,Brian Henson,Tim Curry,Mel Gibson,Kevin Bishop[,,,,
108,Catwalk,Drama&Fashion,1995,Jiri Menzel,Maria de Medeiros,Lena Headey,Miranda Richardson,,,,
109,Headless Body in Topless Bar,Comedy,1995,Alexander Miller,Raye Birk,Bill Byrge,Gina Gershon,,,,
110,Braveheart,Action&Adventure&Drama&History,1995,Mel Gibson,Patrick McGoohan,Angus Macfadyen,Catherine McCormack[,,,,
111,Taxi Driver,Drama&Crime&Thiller,1976,Martin Scorsese,Robert De Niro,Jodie Foster,Harvey Keitel,,,,
112,Rumble in the Bronx,Action&Comedy,1995,Stanley Tong,Jackie Chan,Anita Mui,François Tang[,,,,
113,Before and After,Drama&Romance,1996,Barbet Schroeder,Jennifer Connelly,Nick Nolte,Sean Astin[,,,,
114,Margaret's Museum,Drama&Family,1995,Daniel Petrie,Diane Keaton,Jennifer Jason Leigh,Tyrone Giordano[,,,,
115,Happiness Is in the Field,Documentary,1995,null,null,null,,,,,
116,Anne Frank Remembered,Documentary,1995,Jon Blair, null, null, null,,,,
117,"Young Poisoner""s Handbook, The",Crime&Drama&Comedy,1995,Benito Zefferelli,Leonardo DiCaprio,Robert Carlyle,Ian Hart[,,,,
118,If Lucy Fell,Comedy&Drama&Romance,1996,Garry Marshall,Sandra Bullock,Bill Pullman,Peter Gallagher[,,,,
119,"Steal Big, Steal Little",Comedy&Crime&Drama,1995,Andy Tennant,Matt LeBlanc,Jonathan Jackson,Natasha Gregson Wagner[,,,,
120,Race the Sun,Adventure&Drama&Family,1996,Daniel Sackheim,Hayden Christensen,A.J. Cook,Jenifer Lewis[,,,,
121,"Boys of St. Vincent, The",Drama&Sport,1993,John Schmidt,Mickey Rourke,Dermot Mulroney,Jamie Harris[,,,,
122,Boomerang,Comedy&Drama&Romance,1992,Reginald Hudlin,Eddie Murphy,Robin Givens,Harris Yulin[,,,,
123,Chungking Express,Romance&Comedy&Drama,1994,Wong Kar-wai,Takeshi Kaneshiro,Chow Yun-fat,Miriam Yeung[,,,,
124,"Star Maker, The",Science Fiction&Drama,1995,Giuseppe Tornatore,Marcello Mastroianni,Sophia Loren,John Hurt[,,,,
125,Flirting With Disaster,Comedy&Drama,1996,David O. Russell,Ben Stiller,Patricia Arquette,Téa Leoni[,,,,
126,"NeverEnding Story III, The",Fantasy&Adventure&Drama,1994,Peter MacDonald,Jason James Richter,Jack Black,Ian Holm[,,,,
127,"The Silence of the Palace, The (Saimt el Qusur)",Drama&Romance,1994,Moufida Tlatli,Sabine Azéma,Mélido Nbadrikal,Fatima Oussedik[,,,,
128,Jupiter's Wife,Drama&Romance,1994,Joshua Sinclair,Jamie Lee Curtis,Sam Shepard,Alix Koromzay[,,,,
129,Pie in the Sky,Drama&Romance,1995,Andy Wolk,Richard Lewis,Judy Davis,Jon Cryer[,,,,
130,Angela,Drama&Romance,1995,Brad Silberling,Geena Davis,Winona Ryder,Lena Olin[,,,,
131,Frankie Starlight,Drama&Musical,1995,Michael Apted,River Phoenix,Jennifer Aniston,Jon Bon Jovi[,,,,
132,Jade,Action&Adventure&Romance,1995,Willard Carroll,David Carradine,Linda Fiorentino,Chuck Norris[Inst],,,,
133,Nueba Yol (1995),Drama&Romance,1995,null,null,null,null,,,,
134,Sonic Outlaws,Documentary,1995,Darius Fisher,null,null,null,,,,
135,Down Periscope,Action&Comedy&Romance&War,1996,Dick Pressman,Kelsey Grammer,Laura Linney,Olivia d'Abo[,,,,
136,From the Journals of Jean Seberg,Drama&Biography,1995,Mary Lambert,Patrick Bauchau,Mia Farrow,Keith Carradine[,,,,
137,Man of the Year,Comedy&Drama&Romance,1995,Robert Redford,Susan Sarandon,Jena Malone,Ben Gazzara[,,,,
138,The Neon Bible,Drama&History,1995,Terry Gilliam,Ewan McGregor,Jim Broadbent,John Hurt[,,,,
139,Target,Action&Adventure&Thriller,1995,Andrew Davis,Arnold Schwarzenegger,Bill Paxton,Rutger Hauer[,,,,
140,Up Close and Personal,Drama&Romance,1996,Liesl Tommy,Michelle Pfeiffer,Robert Redford,Sarah Jessica Parker[,,,,
141,The Birdcage,Comedy&Drama&Romance,1996,Mike Nichols,Robin Williams,Nathan Lane,Gene Hackman[,,,,
142,Shadows (Cienie),Drama&Thriller,1988,Jerzy Kawalerowicz, null , null , null[,,,,
143,Gospa,Drama&Horror&Thriller,1995,Andrzej Żuławski,Jerzy Skolimowski,Maria Peszek,Andrzej Seweryn[,,,,
144,The Brothers McMullen,Comedy&Drama&Romance,1995,Edward Burns,Max Baker,Connie Britton,Brooke Shields[,,,,
145,Bad Boys,Action&Comedy,1995,Michael Bay,Will Smith,Martin Lawrence,Téa Leoni[,,,,
146,"Amazing Panda Adventure, The",Animation&Adventure&Family,1995,Mark Henn,Romy Romito,John Cairncross,Ian James Corlett[,,,,
147,The Basketball Diaries,Drama&Sport,1995,Scott Kalvert,Leonardo DiCaprio,Juliette Lewis,Robert Carlyle[,,,,
148,"Awfully Big Adventure, An",Drama&Family,1995,Stuart Orme,Alan Rickman,Bill Pullman,Embeth Davidtz[,,,,
149,Amateur,Drama,1994,Ryan Fleck,Franka Potente,Jake Gyllenhaal,Anna Paquin[,,,,
150,Apollo 13,Drama&History&Thriller,1995,Ron Howard,Tom Hanks,Bill Paxton,Kevin Bacon[,,,,
151,Rob Roy,Action&Adventure&Biography&Drama,1995,Michael Caton-Jones,Liam Cunningham,Jessica Lange,John Hurt[,,,,
152,"Addiction, The",Drama&Thriller,1995,Bille August,Geoffrey Rush,Sam Neill,Kim Basinger[,,,,
153,Batman Forever,Action&Adventure&Superhero,1995,Joel Schumacher,Val Kilmer,George Clooney,Chris O'Donnell[,,,,
154,Belle de jour,Drama&Romance,1967,Luis Buñuel,Catherine Deneuve,Pierre Clementi,Sadie Frost[,,,,
155,Beyond Rangoon,Drama&Romance,1995,Norman Jewison,Patricia Arquette,Harrison Ford,Thomas G. Waites[,,,,
156,Blue in the Face,Comedy,1995,Paul Weiland,Michael Rapaport,Jim Broadbent,Lily Tomlin[,,,,
157,Canadian Bacon,Comedy&Political Satire,1994,Michael Moore,John Candy,Dan Aykroyd,Patrick Stewart[,,,,
158,Casper,Family&Fantasy&Comedy,1995,Brad Silberling,Christina Ricci,Bill Pullman,Cathy Moriarty[,,,,
159,Clockers,Crime&Drama,1995,Spike Lee,Mekhi Phifer,Harold Perrineau,Elizabeth Peña[,,,,
160,Congo,Adventure&Drama&Thriller,1995,Frank Marshall,Laird Hamilton,Laura Linney,Tim Curry,,,,
161,Crimson Tide,Drama&Thriller,1995,Tony Scott,Gene Hackman,Denzel Washington,George Dzundza[,,,,
162,Crumb,Biography&Documentary&Drama,1994,Terry Zwigoff,John Cusack,Joan Cusack,Robin Wright[,,,,
163,Desperado,Action&Drama&Romance,1995,Robert Rodriguez,Antonio Banderas,Salma Hayek,Joaquim de Almeida[,,,,
164,Devil in a Blue Dress,Crime&Drama&Mystery,1995,Carl Franklin,Denzel Washington,Don Cheadle,Jennifer Beals[,,,,
165,Die Hard: With a Vengeance,Action&Adventure&Crime&Thriller,1995,John McTiernan,Bruce Willis,Sylvester Stallone,Jeremy Irons,,,,
166,The Doom Generation,Drama&Thriller&Crime,1995,Gregg Araki,Rose McGowan,Jonathan Schaech,James Duval[,,,,
167,Feast of July,Drama&Romance,1995,Christine Lahti,Jennifer Grey,Bill Pullman,Joan Allen[,,,,
168,First Knight,Adventure&Drama&Romance,1995,Jerry Zucker,Richard Gere,Julia Roberts,Sean Connery[,,,,
169,Free Willy 2: The Adventure Home,Adventure&Family&Drama,1995,Laurence Gough,Jason James Richter,August Schellenberg,Jayne Atkinson[,,,,
170,Hackers,Action&Adventure&Crime&Thriller,1995,Iain Softley,Angelina Jolie,Jonny Lee Miller,Lex Rooker[,,,,
171,Jeffrey,Comedy&Drama,1995,Paul Weiland,Patrick Stewart,Ian McKellen,Krysten Ritter[,,,,
172,Johnny Mnemonic,Science Fiction&Action&Adventure,1995,Robert Longo,Keanu Reeves,Dolph Lundgren,Ice-T[,,,,
173,Judge Dredd,Action&Science Fiction&Adventure,1995,Danny Cannon,Sylvester Stallone,Armand Assante,Robin Williams[,,,,
174,Jury Duty,Comedy,1995,Brian Gibson,Arnold Schwartzengger,Michael Richards,Bill Pullman[,,,,
175,Kids,Comedy&Drama,1995,Harmony Korine,Bug Hall,Jonathan Avildsen,Chloë Sevigny[,,,,
176,Living in Oblivion,Drama&Comedy,1995,Tom DiCillo,Steve Buscemi,Campbell Scott,Peter Dinklage[,,,,
177,Lord of Illusions,Fantasy&Horror&Mystery,1995,Cary Joji Fukunaga,Scott Bakula,Kevin J. O'Connor,Jamie Harris[,,,,
178,Love & Human Remains,Drama,1993,Dennis Hopper,Lili Taylor,John Ventimiglia,James LeGros[,,,,
179,Mad Love,Drama&Romance,1995,Antonia Bird,Diane Lane,Christopher Atkins,Tchéky Karyo[,,,,
180,Mallrats,Comedy&Drama&Romance,1995,Kevin Smith,Jay and Silent Bob,Ben Affleck,Claire Forlani[,,,,
181,Mighty Morphin Power Rangers: The Movie,Action&Adventure&Family&Fantasy,1995,Jonathan Tzachor,Jason David Frank,Amy Jo Johnson,David Yost[,,,,
182,Moonlight and Valentino,Comedy&Drama&Romance,1995,David Anspaugh,Whoopi Goldberg,Gwyneth Paltrow,Helen Hunt[,,,,
183,Mute Witness,Crime&Drama,1994,Pietro Marcello,Christopher Lambert,Kim Greist,Michael Gambon[,,,,
184,Nadja,Drama&Horror&Romance,1994,Michael Almereyda,Elle Fanning,Peter Gallagher,Kate Beckinsale[,,,,
185,The Net,Drama&Thriller,1995,Irwin Winkler,Sandra Bullock,Jeremy Northam,kenneth Branagh[,,,,
186,Nine Months,Romance&Comedy&Drama,1995,Chris Columbus,Hugh Grant,Julianne Moore,Tom Arnold[,,,,
187,Party Girl,Comedy&Drama&Romance,1995,Daisy von Scherler Mayer,Parker Posey,Anna Paquin,Lili Taylor[,,,,
188,The Prophecy,Fantasy&Horror&Mystery,1995,Gregory Widen,Christopher Walken,Elias Koteas,Virginia Madsen[,,,,
189,Reckless,Drama&Romance,1995,Randall Kleiser,Elle Macpherson,Aidan Quinn,Kim Thomson[,,,,
190,Safe,Action&Drama,1995,Simon West,Kevin Costner,Samsaara Leja,Madeleine Stowe,,,,
191,The Scarlet Letter,Drama&Historical&Romance,1995,Gary Fleder,Demi Moore,Gary Oldman,Robert Duvall[,,,,
192,The Show,Animation&Comedy&Drama,1995,Jamie Hector,Jennifer Tilly,Roger Craig Smith,Gary Oldman,,,,
193,Showgirls,Drama&Romance&Thriller,1995,Paul Verhoeven,Elizabeth Berkley,Kyle MacLachlan,Gina Gershon[,,,,
194,Smoke,Drama&Thriller,1995,Paul Auster,Harvey Keitel,Susan Sarandon,Jennifer Jason Leigh[,,,,
195,Something to Talk About,Drama&Romance,1995,Lasse Hallström,Julia Roberts,Dennis Quaid,Robert Duvall[,,,,
196,Species,Horror&Science Fiction&Thriller,1995,Jeffrey Leuschner,Mila Kunis,Ben Kingsley,Michelle Williams[,,,,
197,"Stars Fell on Henrietta, The",Drama&Family,1995,Charles Small,Robert Wuhl,James Earl Jones,Estelle Harris[,,,,
198,Strange Days,Science Fiction&Thriller,1995,Kathryn Bigelow,Ralph Fiennes,Angela Bassett,Juliette Lewis[,,,,
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",Musical&Romance,1964,Jacques Demy,Catherine Deneuve,Nino Castelnuovo,Anne Vernon[,,,,
200,The Tie That Binds,Drama&Romance,1995,Jay Russell,Holly Hunter,Annabeth Gish,Liev Schreiber[,,,,
201,Three Wishes,Comedy&Drama&Family,1995,Martha Coolidge,Jennifer Aniston,Kevin Bacon,Mitchell Whitfield[,,,,
202,Total Eclipse,Drama&Horror&Romance,1995,Agnés Varda,Leo McKern,Jaclyn Bernstein,Marie-Laure Dougnac[,,,,
203,"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy&Drama&Romance,1995,Beeban Kidron,Patrick Swayze,Whoopi Goldberg,Jimmy Smits[,,,,
204,Under Siege 2: Dark Territory,Action&Adventure&Thriller,1995,Steven Seagal,Eric Bogosian,Everett McGill,Jamie Harris[,,,,
205,Unstrung Heroes,Drama&Comedy&Family,1995,Thomas Schlamme,John Turturro,Andy Comeau,Jason London[,,,,
206,Unzipped,Documentary,1995,Laura Angel, null ,null ,null[,,,,
207,A Walk in the Clouds,Drama&Romance,1995,Alfonso Arau,Keanu Reeves,Aitana Sánchez-Gijón,Gary Busey[,,,,
208,Waterworld,Action&Adventure&Science Fiction,1995,Kevin Costner,Dennis Hopper,Jeanne Tripplehorn,Tina Majorino[,,,,
209,"White Man""s Burden",Drama&Thriller,1995,John Singleton,Morgan Freeman,John Cusack,Radha Mitchell[,,,,
210,Wild Bill,Action&Crime&Drama,1995,Sam Raimi,Jeff Bridges,John Hurt,Penelope Cruz[,,,,
211,The Browning Version,Drama,1994,Mike Figgis,Gregory Smith,Natasha Richardson,Zoe Wanamaker[,,,,
212,Bushwhacked,Adventure&Comedy,1995,Andy Tennant,Joseph Bologna,Molly Shannon,Danny Woodburn[inst],,,,
213,Burnt By the Sun (Utomlyonnye solntsem),Drama,1994,Nikita Mikhalkov,Marina Neyolova,Oleg Storchak,Aleksey Serebryakov[,,,,
214,Before the Rain (Pred dozhdot),Drama&Romance,1994,Milcho Manchevski,Rade Serbedzija,Lazar Ristovski,Katerina Golubeva[,,,,
215,Before Sunrise,Drama&Romance,1995,Richard Linklater,Ethan Hawke,Julie Delpy,Andre Royo[,,,,
216,Billy Madison,Comedy&Drama&Family,1995,Tamra Davis,Adam Sandler,Bridgette Wilson-Sampras,Josh Mostel[,,,,
217,The Babysitter,Horror&Thriller,1995,Glen Morgan,Jennifer Love Hewitt,Sarah Carter,Ray Wise[,,,,
218,Boys on the Side,Comedy&Drama&Romance,1995,Jamie Babbit,Whitney Houston,Mary-Louise Parker,Whoopi Goldberg,,,,
219,The Cure,Drama&Mystery&Thriller,1995,Kazuaki Kiriya,Ken Watanabe,Asumi Miwa,Koji Yakusho[,,,,
220,Castle Freak,Horror&Thriller,1995, Stuart Gordon,Jeffrey Combs,Barbara Eve Harris,Bruce Glover[,,,,
222,Circle of Friends,Drama&Romance,1995,Iain Softley,Minnie Driver,Chris O'Donnell,Saffron Burrows[,,,,
